Score,Summary,Text
5,three cheese,really good three cheese potatoes great with ham great value will be buying two next time well worth the money.
5,Coffee  ***UPDATE*** added,"I love coffee, and a particular fantasy of mine would be to go to all these exotic places, make friends with the natives, tour their coffee plantations, sample their wares, and pack my bags with a supply of their goods.  (Of course, I would pay them dearly for their goods and services.)<br /><br />Since I can't go to any of these places, I have to settle for imported coffee.  This box of coffee is ""Organic Medium Ethiopia Yirgacheffe"", ""ethically farmed-artisan roasted"", and is also fair trade certified and USDA approved.<br /><br />This particular coffee that I am reviewing is ""exotic floral and berry"".  This particular box has 15 individual, individually-wrapped (that's the part I like!) servings.<br /><br />I made this coffee this morning, and I love it.  It isn't very strong, so it might not be for everyone.  (Sometimes coffee is just too strong.)  I plan on making more of this coffee later today.<br /><br />I currently don't have an Espresso machine in my kitchen, but I hope to one day have one.  Whenever that time comes, I look forward to the day that I can make cappuccinos and other exotic coffee drinks with all these exotic coffees.<br /><br />UDDATE Sunday, April 15, 2012:  I did make more coffee last night (the coffee was so good - who could resist?); however, that was a big mistake.  I did not go to bed until early this morning; consequently, I slept late, missed church, and the day was ruined.  (I will go to church tonight.)  The caffiene must have been strong.  From now on, I will only drink this coffee in the morning.  I sure wish I had of had this coffee back when I was in the Army and had to pull all-night duty."
5,Delicious cocoa for grown ups!,"This is not sugary sweet hot chocolate, nor is it supposed to be.  It has a little bite. We like to call it hot cocoa for grown ups. I love to drink mine with Almond Joy creamer, or Cold Stone Creamery's Sweet Cream creamer. One of my daughters likes vanilla creamer, and another likes to drink it almost black. Nice, warm, rich comfort beverage alternative to coffee.  Tastes best when brewed in a French press. I just have a cheap 32 oz press that I got here on Amazon, but it is so much better than using an electric coffee maker. Also be aware, it is not going to brew as dark as coffee.  That threw me off at first, but don't let the light color fool you! It has a lot of flavor."
5,Really Good Fresh Murray's Sugar-Free Shortbread,"These cookies arrived quickly and are in great shape.  They are very fresh and are all Shortbread.  The brand sent is Murray and looks just like the picture.  Ignore the 'Kebbler' title.  The Shortbread is made with Splenda and has a pleasant vanilla-like aftertaste.  Eight little cookies come in a packet.  Each is 1-1/2"" in diameter.  The packet is 130 calories and has 140 mg of sodium. The packet says it's equivalent to one diabetic exchange each of fat and carbohydrate.  I feel that one packet is just the right size for a mid-morning or mid-afternoon snack.  Highly recommend."
3,OK Coffee,"This is decent coffee. Nothing special. It is not very strong or distinctive. Does not have much ""jump."" Nothing wrong with it either, except for the fact that for a coffee product that prides itself on being environmentally sensitive, it is being sold in single pod packages that are anything but. Time to leave that sort of contradiction behind."
5,d-e-e-l-i-s-h,Very tasty.  Kinda like a cross between a sardine (consistency) and smoked mullet or trout (smoky flavor).  Very much recommended!
1,Worst Junk Food Ever,"I have two cats and have always been feeding them this food,one is 5 and the other 9 years old and they are both 15 pounds.So they are fat and I could never figure out why,since they only got to share on cup between each other all day.So about two weeks ago I did some research on this food and my eyes were opened.I feel horrible that I fed them this junk food and I thought I was giving them the Best out there,since my Vet gave it to me and said it was great for them.<br />So anyways my male cat is now on Wellness Indoor dry and expensive wet food like Blue Buffalo,Wellness and Merrick.He loves it and I had no problem switching him over and I already notice the difference in his energy level.But my biggest issue is my female cat,she will not touch any other food than her Science junk food.I tried mixing it with the new food,starting at 75% old to 25% new,nothing she wouldn't touch it.So I tried 90% to 10%,still nothing.She cried and wined and didn't eat one morsel in four days and was just laying in one spot all day having even less energy than before.So I called my new Vet and she said now it is getting dangerous because she wouldn't eat at all.I had to give her her old junk food back,because I did not want her to die.I have no idea what to do,she is so addicted to this food and I can't get her of it.She hates wet food with a passion.I am worried about Diabetes if she will get any bigger.So I am really sad that nothing seems to work with her.<br />I made her a junk food addict,it's my fault.I wish I never started her on this food at all."
5,Sharkbananarama,I recieved a sharkbanana for Chrismas.  This is the best gift I have ever gotten.  I have instructed it to eat only people like David Pearlman and my life is better for it.  And it's packed with potassium.
5,Great snack food!,The Snikiddy Snack grilled cheese puffs are wonderful.  They are perfect for kids to bring to school as their morning snack.  It is also good as a snack on the run.  I highly recommend this product.  The chocolate chip cookies are great too.  Enjoy!!
5,Close to healthy lollipops,"If you have to have a lollipop these are pretty good ones to have. Natural. Organic. Free of most allergins(safe for most ""allergy kids""). Great flavors (Mango, Pomagranite, Watermelon, Apple, Blueberry, Cherry, Grape). Colors from beets, carrots, berries, etc. Kids and adults love them. I have been using them for years at schools and public events, and people ask for them over every other major brand lollipop I try."
3,SIX Reasons to buy this,"SIX Reasons to buy this product:<br /><br />1. It's a healthy source of protein you can stash in your pocket.<br /><br />2. It's fun and cool - it's Ostrich!<br /><br />3. It's only 2 weight watchers points<br /><br />4. They say its a good source of potassium (650mg) and iron (?) - I'm not a nutritionist<br /><br />5. If you like salt. I have to say I don't, and Im a bit sad because I want to love this product, but it is too salty for my tastes.<br /><br />6. If you want to drink more water. Seriously these are salty."
3,Easy to use but not as good as the real thing,"I love a good mojito but since they are very labor intensive I very seldom make them myself.  Making simple syrup, cutting up limes, and muddling mint with sugar are a long process for me and most of the time not really worth it since I just end up drinking one or two and then have to clean up the mess.  Prior to trying Crystal Light's Moctails I had been making a low sugar alternative to the margarita using Crystal Light lemonade and really enjoyed it so these pre-mixed packets seemed like a good solution.  All you need to do to make these is stir the packet with water which is even possible for someone that is lazy like me.  I added ice and clear rum and voila! instant mojito party time.  Unfortunately these didn't quite live up to the original, they have an odd after-taste that is mildly off putting which I usually attribute to artificial sweeteners.  Most of my guests agreed that these were an okay alternative but just plain they don't seem like a great substitute.  I used this mix and muddled up some mint with them and added a squirt of lime and that seemed to make it much better, but at that point I might as well just make real mojitos rather than using the mix.  Overall I would say if you're a real mojito aficionado you can skip these; if you're a novice and just want to get an idea of the flavors without a lot of work then these would be a good way to get your feet wet."
4,It tastes sour,"It tastes not like the lollipops I have ate before.It tastes sour and after I had three lollipops,my teeth feel some upset.So,one has better have few lollipops per day."
5,WONDERFUL SOUPL BASE WITH WILD RICE,"LOVE THE FLAVOR & MAKES THE BEST SOUP THE EASY WAY - I HAVE ADDED CHICKEN, SHRIMP, CRAB, TO MAKE THE GREATEST SOUPS & JAMBALYA-"
4,Would buy again.,"This gel tastes good and is easy to eat. It is less viscous than Cliff's gels, so it is easier to get it to your mouth from the package. The only problem is that the packets are a little difficult to open compared to Cliff's gel (at least while on a moving bike). All of the different flavors have a nice honey aftertaste."
5,yum yum,These popchips are the best and they only have 100 calories per bag!  I can have a bag everyday they are so good.
5,"Good product, bad packaging on Amazon's part","I order this pretty often and usually the packaging is good.  However, this last time all the cereal boxes were crushed.  Amazon should check their packaging before they ship."
5,These saved me.,"If you're ever in the mood to just munch on something and not have it kill you in calories, this is it.<br />It has crunch and a little salt. Looking at other reviews, it IS a lot like eating air, but again,<br />for those of us who can't afford to eat a bag of chips, this is the best substitute. You're not going to<br />eat one and be like - WOW. This is the best snack I've ever had. BUT, it's the  best when you're looking to find something crunchy that you can eat while watching a movie. It works for me so well, that when my local BJ's stopped carrying them (which is a sign I know), I had to go directly to the vendor to find where I can get them. Now I have to buy at Trader Joe's and they're much more money now. Still - they work for me like nothing else.<br />I must add I only like the Sea Salt. I've only tried one other flavor and didn't like it. If anyone finds out where I can buy the huge economy sized bag that BJ's used to sell, PLEASE tell me! It's a great deal! I wish they didn't stop selling it..."
5,My daughter's favorite,"This baby food is my daughter's favorite, she eats three at lunch couple times a week and is a big help to me when I don't have time to cook nutritious meal for her."
4,very pleased,"As usual, I am very pleased with my order from start to finish.  I like the fact it's clear with no smell or taste."
5,Best whey ever (in bar form),"These protein bars are fantastic. They taste great and provide hours worth of energy. They have a little bit more sugar in them than I would like, but compared to most other bars it's low. Also, the chocolate coating has a pretty low melting point. If you keep them cool it's not a problem though. Enjoy!"
5,Workout Supplement,I have only tried the Strawberry and it was suprisingly good. Some after-taste as would be expected but really good otherwise. I use this to supplement my workouts.
5,Bigelow tea is all that it's cracked up to be and more!,"It's a yummy tasting, refreshing tea that is gluten free and is good for me as well as pleasant tasting for a long time!"
5,Great product!,"I wanted a change, so when purchasing at Amazon, I decided for a different brand. This Sriracha Chili Sauce compares very favorably with the Rooster brand, and in some aspects it is better. It does not bite the mouth like the other, but its sweetness is great."
2,ok dog food,"even my voracious coonhound doesn't seem to like this brand of dog food much, and my little doggie will only eat if she has to.  I don't recommend it."
5,the best,"this sauce is sweet, tangy, thick and is a great addition to pork, chicken, steaks or whatever you want it on. If you looking for something new and great tasting, give this and Tennessee red sauce a try. the Tennessee red is more vinegar base and more spicy but ends in a sweet note that can't be beat."
5,Wow,"Great flavor and love the texture too, but don't overpay.... $8.99 is crazy. The product can be found for much less."
5,My Shiloh loves it!,"My canine companion is a 132 pound, five year old, Shiloh Shepherd.  The Shiloh Shepherd is considered a 'giant breed.'  With his enormous size, athleticism, and the general nutrient demands, we all must consider, his diet has always been a primary consideration.  Not to mention, he has the sensitive tummy often seen among the German Shepherd breed.  His breeder has always been partial to 'Premium Edge Lamb.'  This is the formula he was weaned on.  I had no desire to change what appeared to be a successful regimen.<br /><br />Then to my dismay, I learned 'Premium Edge' was placed on a recent recall list.  I knew that a change in diet was likely to be detrimental to my fur friend, but I had to take immediate action.  And, at the time of recall, I didn't have time to gradually transition to a new diet, which is always the way to go, to avoid negative symptoms.<br /><br />After carefully analyzing formulas of numerous dry kibble, I opted to give Pinnacle (Trout & Sweet Potato) a try, ordering a 15 pound 'starter' bag from Amazon.  In addition, I ordered some digestive enzymes to assist in the transition phase.<br /><br />The bag arrived.  I opened it with my dog assisting to see what his response would be.  The first whiff out of the bag was strong, smelling of fish.  I noted the kibble size, itself, was quite small for a large breed dog, but felt this was only a minor reservation.  The ultimate test was not what I thought about it, but what my Shiloh would.  He immediately had a positive response.  In fact --- he loves it!  He appears more enthusiastic about it than the 'Premium Edge.'<br /><br />I had to start the Pinnacle before the enzymes arrived, so I was expecting some terrible gas and possibly some diarrhea.  Well, that was not the case.  He has gone through the 15 pound bag, and half of the next order --- a 30 pound bag, with no diarrhea, or gas, at all.  In fact, his stools appear firmer and more consistent than on his previous diet.  Supplementing with the enzymes was actually not necessary.<br /><br />I'm delighted with this new regimen.  I also love that I can order a 30 pound bag through Amazon and have it delivered to my front door.  I'm now avoiding a considerable drive,  and,  the back-breaking-discomfort, of lugging around heavy bags of kibble.<br /><br />My dog is happy, and I'm happy.  That said, after an adequate therapeutic trial, I feel confident in recommending Pinnacle."
5,"Great taste, great memories","After reading some of the customer reviews, I was worried that these biscuits would arrive all crumbled and close to the expiration date.  To my great delight, we have opened two of the six packages we ordered, and they are fresh, crisp and DELICIOUS.  They have a use by date of December 2012, and they will be long gone before then. I always used to buy these when I was in England and haven't found them here except at outrageous prices. By combining these with one other item, I got free shipping.  Really worth it.  Having these Rich Tea Biscuits really brings back wonderful memories of teatime in London, and we were enjoying them today on an unusually cold and rainy day with a huge ""cuppa"" British Blend tea.  Yum!"
5,Dog loves this fool,"Food mixes well, ingrediants are healthy, dog loves the taste.  What more could you ask for!"
5,Not Really A Tea Drinker...,I'm not much of a tea drinker. I've been hooked on energy drinks for years. A friend of mine who drinks tea religiously recommended this tea so I tried it with little to no expectations.<br /><br />Fast forward a couple months and now I drink the tea 3-4 times a week. It's calming and I feel great afterwards.<br /><br />This tea has become a great alternative for my energy drinks and I know it's better for my body.<br /><br />I still drink my energy drinks (probably always will) but not I like to add this tea to my mix to promote a healthier lifestyle.<br /><br />I would recommend this Oolong tea for anyone who wants to stop drinking sugar filled drinks. This tea is all natural with no preservatives. Their website lists how there are many health benefits associated with this tea too.
1,Vegans Beware: Has Sugar,"This item is listed as vegan, but the list of ingredients is not visible in the image, and the ingredients is not listed on Amazon. I contacted the company to send me the information on a few sauces. They have sugar in them, though they are labelled vegan. The company rep wrote that, ""All of the sauces you are interested are vegan, it contains no dairy product, meat or seafood. However, all cooking sauces contain sugar."" This is obviously a contradiction to many, if not most vegans.<br /><br />I write this as an FYI to those wanting to find a vegan sauce. My daughter just turned vegan and needs an stir fry sauce without sugar or with organic sugar or other sweetener, so I felt I was almost tricked into buying this, but she would have been upset.<br /><br />I gave it only one star because of this misrepresentation."
5,You may trust,Good product! Organic. Dependable. Much cheeper at Amazon.com (spesially on the program) than one from store shelves. Highly recommend!
5,Wonderful popcorn!,We received this popcorn as a gift along with the 8oz popper from the same manufacturer. I am completely pleased! I save the salt for after the corn is popped so I can flavor to taste.  It pops fast and tastes terrific!
